Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000031156,Slc35a2,Gene Expression,0.019566989980461295,0.04231890250702253,0.09355318137697029,331,0.24610431259004453,267
ENSMUSG00000025582,Nptx1,Gene Expression,0.019562849835620278,0.03768103461269723,0.08447321536516463,30,0.030305375009380242,28
ENSMUSG00000038349,Plcl1,Gene Expression,0.019562259055191156,0.0394489567381302,0.08800643822566194,56,0.04921861286500999,51
ENSMUSG00000034871,Fam151a,Gene Expression,0.019559453341776077,0.025583724621629278,0.059832002738566356,13,0.011509421328748666,13
ENSMUSG00000022568,Scrib,Gene Expression,0.01955897870493856,0.04263241466779322,0.09417061465142217,513,0.37314121100721287,363
ENSMUSG00000001674,Ddx18,Gene Expression,0.01955723514998266,0.04250475659705333,0.09391016520628777,379,0.2761308527347678,295
ENSMUSG00000033382,Trappc8,Gene Expression,0.019549719571314274,0.041473880561332166,0.09181153428640992,136,0.09537848868065973,122
ENSMUSG00000095384,1700001F09Rik,Gene Expression,0.01954265853450856,0.04185179439838782,0.09260556688633739,148,0.15357988223137167,133
ENSMUSG00000055971,Olfr378,Gene Expression,0.01953984128055658,0.038153821673438726,0.08538059638548137,40,0.03928616176741452,38
ENSMUSG00000017831,Rab5a,Gene Expression,0.01953513797453665,0.040918732333374175,0.09074942985320443,107,0.08514610610791547,94
ENSMUSG00000061273,Mmgt1,Gene Expression,0.019534066830538946,0.040524122145386476,0.09000896209972514,93,0.06399111088109732,85
ENSMUSG00000021298,Gpr132,Gene Expression,0.019533206745444776,0.04085623397048055,0.09063168723952542,78,0.055033113977296454,75
ENSMUSG00000021319,Sfrp4,Gene Expression,0.019530844022255633,0.041820662789689766,0.09254731097015427,142,0.11443772581686504,126
ENSMUSG00000025224,Gbf1,Gene Expression,0.019528127089663946,0.04313992144258183,0.0952152281490184,1625,1.3063824362438612,739
ENSMUSG00000043535,Setx,Gene Expression,0.019525140529404423,0.04300286679995424,0.09495624432870126,475,0.3536416715052435,355
ENSMUSG00000034203,Chchd4,Gene Expression,0.019514433699743636,0.04200819533589195,0.09293028950985123,179,0.12229983208342309,154
ENSMUSG00000038997,Asb17,Gene Expression,0.0195086655552223,0.03321984476032025,0.07555348000853854,18,0.008890856995962333,18
ENSMUSG00000027088,Phospho2,Gene Expression,0.019507483966232485,0.04075663605633917,0.09046575966707848,107,0.0766266726196476,98
ENSMUSG00000094531,Olfr671,Gene Expression,0.019495616665172532,0.03388823353402448,0.07687397942617634,20,0.018708474598743228,20
ENSMUSG00000001248,Gramd1a,Gene Expression,0.019492928970107005,0.04345162190403551,0.09581537685740507,955,0.7066133360865582,551
ENSMUSG00000046258,Adam29,Gene Expression,0.01948627275637983,0.03535383950224347,0.07986013270608777,23,0.0240360024708751,23
ENSMUSG00000037652,Phc3,Gene Expression,0.01948013202374648,0.04338569066642073,0.09569914439077305,367,0.2581184202177511,298
ENSMUSG00000049723,Mmp12,Gene Expression,0.01947480300260448,0.037490982130673034,0.0841058758418196,44,0.055496976977570646,42
ENSMUSG00000004371,Il11,Gene Expression,0.019473049041896097,0.03311795907971571,0.0753751446697936,19,0.016220386988184832,19
ENSMUSG00000001034,Mapk7,Gene Expression,0.019469375093204518,0.04268966536665397,0.09428626538506883,185,0.13985193185527778,160
ENSMUSG00000052151,Plpp2,Gene Expression,0.019464412103504598,0.042209005002461275,0.0933209422053499,106,0.08081457984775525,94
ENSMUSG00000032932,Hspa13,Gene Expression,0.019462826213035078,0.04338978692625117,0.09569914439077305,297,0.20740914363973756,249
ENSMUSG00000051184,Zfp524,Gene Expression,0.019461077303220723,0.04321448972971709,0.09535796118803452,266,0.21739845717241799,231
ENSMUSG00000045802,Hsf3,Gene Expression,0.019453175525330383,0.0397638923724557,0.08860150181925977,49,0.054575254784555965,45
ENSMUSG00000031910,Has3,Gene Expression,0.01945133496151664,0.03729583962470673,0.083716840989118,24,0.018950148830542014,24
ENSMUSG00000038773,Kdm3b,Gene Expression,0.01944703719311352,0.043958005827245517,0.09681012120115594,827,0.5954843827495696,512
ENSMUSG00000044309,Apol7c,Gene Expression,0.01944594761366074,0.038103883542643935,0.08528222819848723,27,0.026014211068731707,27
ENSMUSG00000022967,Ifnar1,Gene Expression,0.019441806161138733,0.04386159273910373,0.09663092575318152,584,0.42064347142583697,407
ENSMUSG00000066750,Olfr876,Gene Expression,0.019439224340187806,0.03870263866380119,0.08653759785256657,36,0.03703540560892224,35
ENSMUSG00000051046,Olfr214,Gene Expression,0.019435123292636775,0.03656969661916909,0.08225940164213796,26,0.026547905348276068,26
ENSMUSG00000015305,Sash1,Gene Expression,0.01942905954102512,0.04383926570256347,0.09661371505221461,456,0.35951778058025097,331
ENSMUSG00000031668,Eif2ak3,Gene Expression,0.019426424800938917,0.0441856698420533,0.09724481553312758,1258,1.009147392582845,686
ENSMUSG00000021969,Zdhhc20,Gene Expression,0.019425920510848602,0.04237956581088009,0.0936657926938644,94,0.07124255068822388,86
ENSMUSG00000036890,Gtdc1,Gene Expression,0.019420615263237975,0.042393687522720436,0.0936862564593636,91,0.07344610977333156,84
ENSMUSG00000031534,Smim19,Gene Expression,0.01941458711699905,0.043116798237023746,0.0951750956501489,168,0.12736016808535583,149
ENSMUSG00000000739,Sult5a1,Gene Expression,0.019385769320707538,0.0401240400006353,0.08926440584898841,45,0.026576800382288004,41
ENSMUSG00000050224,Krtap13,Gene Expression,0.019383511386282654,0.03957462871238149,0.08820508986264944,36,0.03289248959865798,36
ENSMUSG00000047565,Acot10,Gene Expression,0.019370668129376392,0.04049649968236935,0.08996091784872016,41,0.03247667639215155,40
ENSMUSG00000038605,Samd10,Gene Expression,0.019370313927633186,0.04169563374959062,0.09228122686038058,69,0.047810668231651934,58
ENSMUSG00000028467,Gba2,Gene Expression,0.019364096284554752,0.04448134091870659,0.09785082372000471,389,0.2460712246912746,286
ENSMUSG00000104063,Pcdhgb7,Gene Expression,0.01936298414203223,0.0434789485822078,0.09586466278150783,140,0.10378848761443085,126
ENSMUSG00000024050,Wiz,Gene Expression,0.019362622676984288,0.04481649288495437,0.09854308969659106,961,0.7271377461463124,569
ENSMUSG00000109564,Muc16,Gene Expression,0.019362433004377663,0.03785918331467597,0.08484297147150718,26,0.022267346613565064,26
ENSMUSG00000048482,Bdnf,Gene Expression,0.019360603980492264,0.040328952131355233,0.08966850453118176,34,0.024508496712100068,33
ENSMUSG00000025515,Muc2,Gene Expression,0.019357431375941727,0.04114547215301756,0.09117882062342263,56,0.055505073234138926,54
ENSMUSG00000042473,Tbc1d8b,Gene Expression,0.019356043061901033,0.04141873476649405,0.09173161788840951,50,0.036371585598572176,49
