"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H2-Ob",0.0003874123317321,0.637643822103876,0.287,0.166,1
"Htra1",0.000391259834404086,-0.428493092114017,0.763,0.782,1
"Rfng",0.00039253176265628,0.860619391099312,0.189,0.09,1
"Erlin2",0.000394642259306512,0.358043880657864,0.501,0.328,1
"Zfp710",0.000394705927655095,0.351170358270481,0.49,0.331,1
"Hdac2",0.000395159771050213,0.458593473869238,0.552,0.375,1
"Nrcam",0.000398065505595717,1.44420529233976,0.117,0.044,1
"Sirt5",0.000398750876861508,0.864028419607664,0.12,0.044,1
"Coasy",0.000399835117992637,0.625797303763499,0.248,0.134,1
"Cdk11b",0.000404219080597224,0.370906462017983,0.343,0.201,1
"Fkbp15",0.000406048590473542,0.314892003805241,0.418,0.259,1
"Ptpn7",0.000408161417377929,0.619660883052367,0.401,0.265,1
"Tmem11",0.000409748039791134,0.398280440347746,0.418,0.262,1
"Ldah",0.000409749983487347,0.420288939752742,0.348,0.212,1
"Fam102b",0.000409817620258554,0.40807302189798,0.242,0.125,1
"Fbxl2",0.000411296620763266,0.601115130423158,0.156,0.067,1
"Taf12",0.000416148154687342,0.288568518595531,0.507,0.32,1
"Memo1",0.000418643252581808,0.499681901190618,0.323,0.189,1
"Thy1",0.000425098413021931,0.858689906699221,0.223,0.116,1
"Sh3glb1",0.000430116495225397,0.360694777846533,0.719,0.567,1
"Nipal3",0.000432841858046916,0.695051278848029,0.345,0.215,1
"Tarbp2",0.000433284429430091,1.03477986749028,0.114,0.041,1
"Myom1",0.000433454287293655,-1.21075567903439,0.103,0.192,1
"Coq5",0.000433502689519773,0.414288432105157,0.638,0.488,1
"Sgsh",0.000435105436086758,0.814755053686063,0.156,0.067,1
"Mpi",0.000436709023204462,0.430545773002495,0.203,0.099,1
"Zfp821",0.000438668118735737,0.400743379741816,0.474,0.311,1
"Prdx6",0.000439696285423348,0.304712250907545,0.716,0.567,1
"Csad",0.000442476872325673,0.488698074343131,0.504,0.355,1
"Unc50",0.000443008224783297,0.345084952866572,0.309,0.172,1
"Sowahc",0.000444253004508553,0.438244574704298,0.292,0.166,1
"Mybl2",0.000444367832347356,0.421820314568759,0.56,0.39,1
"Cebpe",0.000447580185173631,0.672406072194446,0.309,0.186,1
"Sar1b",0.00044836747668665,0.358295772809255,0.304,0.172,1
"Ahdc1",0.000455430921623645,0.449357673251103,0.348,0.209,1
"Gxylt2",0.000456151509205052,0.461554801211477,0.412,0.259,1
"Rbm5",0.000459891067998849,0.407821943198121,0.507,0.334,1
