"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ccz1",0.0151216469638219,1.13771202075744,0.324,0.191,1
"Ppp6r1",0.0151303437973171,0.431557573676758,0.721,0.555,1
"Vps37c",0.0151879007754356,1.06886422389928,0.397,0.277,1
"Ttc39b",0.0153781472258632,1.14785657816298,0.265,0.139,1
"Csad",0.0153890303065929,1.03030828104645,0.426,0.306,1
"Cops5",0.0154312296230272,1.12088953056271,0.426,0.306,1
"Psmd14",0.0154613791654099,1.05018364862925,0.338,0.208,1
"Nudt1",0.0154883264359501,1.23168816896645,0.309,0.185,1
"Znhit6",0.0155068254539984,1.64672566824529,0.162,0.064,1
"Trabd",0.0155149154422412,1.0020299003377,0.353,0.214,1
"Qdpr",0.0155306278013772,0.74050781456591,0.441,0.301,1
"Ccdc51",0.0155629337140673,1.66909348127375,0.162,0.064,1
"Snorc",0.0155940826222089,-0.325392757632508,0.794,0.925,1
"Dvl3",0.0156588921213147,0.708673489248434,0.618,0.526,1
"Prdx6",0.0156777325671593,0.5961929342263,0.632,0.491,1
"Tmem120a",0.0157084406136493,1.61019979222018,0.162,0.064,1
"Nsa2",0.0157595808128922,1.08413098055259,0.309,0.173,1
"Myb",0.0157821564915238,0.620183880792801,0.618,0.48,1
"Prss35",0.0158084606874511,1.56955780772283,0.191,0.087,1
"Slc27a1",0.0158479037634175,1.21788236944142,0.279,0.156,1
"Hsd17b10",0.015853076483309,1.09813783854647,0.456,0.364,1
"Snrnp27",0.0158669484617668,0.508320178200965,0.765,0.723,1
"Rab4b",0.0158711503471092,0.932127887107541,0.382,0.249,1
"Pdxp",0.0159186335551801,2.22163450430253,0.103,0.029,1
"Tmem181a",0.0159191099310596,2.34716538638639,0.103,0.029,1
"Cetn3",0.0159967795362303,1.34716538638639,0.265,0.145,1
"Mpv17l2",0.0160018153008887,1.19516229294134,0.324,0.202,1
"Mcee",0.0161461506978419,1.5170903878287,0.176,0.075,1
"Atp7b",0.0161545349653903,-2.11226623225091,0.015,0.11,1
"Ube2s",0.0161798613825212,0.430221126113944,0.868,0.74,1
"Zfp768",0.0161952483327481,1.11583984027993,0.25,0.127,1
"Pank1",0.0161952483327481,1.11583984027993,0.25,0.127,1
"Napa",0.0162111835163048,0.784570698693684,0.529,0.416,1
"Cad",0.0162340302706294,0.682032536981246,0.544,0.439,1
"Mia2",0.0162391902471974,0.746261341796207,0.5,0.376,1
"Rabggtb",0.016260160182052,0.579338828515419,0.588,0.468,1
"Cxxc5",0.0162919286062063,0.785854153729874,0.588,0.468,1
"Gch1",0.0162970362096503,0.708264078554425,0.544,0.428,1
"Manba",0.0163092147141693,-1.97476270850098,0.015,0.11,1
"Dok2",0.0163488570122201,1.52773763202821,0.162,0.064,1
"Fyn",0.0163717165702331,1.30277126702793,0.265,0.145,1
"Ppic",0.0163737364195535,0.554970271499787,0.735,0.624,1
"Ldlrap1",0.0163980207157216,0.633469571543026,0.603,0.48,1
"Dmxl1",0.0164811290410256,-1.50083152016856,0.059,0.179,1
"H2-DMb1",0.0164827335242316,1.55361626385381,0.162,0.064,1
"Epb41l1",0.0164853932517491,1.24762971283547,0.338,0.214,1
"Flrt1",0.0165160570164272,2.08413098055259,0.103,0.029,1
"Maob",0.0165160570164272,2.08413098055259,0.103,0.029,1
"Cops7b",0.0165162201375918,2.34716538638639,0.103,0.029,1
"Gbp3",0.016538335157878,1.46264260380632,0.162,0.064,1
"Tbc1d19",0.016538335157878,1.46264260380632,0.162,0.064,1
"Gng4",0.016538335157878,1.46264260380632,0.162,0.064,1
"Fahd1",0.0165539253472401,0.819233830701608,0.382,0.243,1
"Fstl1",0.0166987961328139,0.551037719752035,0.721,0.578,1
"Chmp7",0.0167192152171481,1.30969068096772,0.309,0.185,1
"Cdc42ep1",0.0167290414104419,1.06243590945327,0.426,0.306,1
"Pde4dip",0.0168091428803819,-0.641152808565979,0.279,0.457,1
"Uxt",0.0168295361656158,1.52773763202821,0.176,0.075,1
"Ctnna1",0.0168452829785621,0.430420890035737,0.735,0.636,1
"Snx1",0.0168711681342008,0.519529433280115,0.75,0.63,1
"Gipc1",0.0168738354669683,0.932127887107541,0.426,0.301,1
"Tmem86b",0.0168831609075261,1.62727330557912,0.176,0.075,1
"Sik2",0.0170841348350541,0.951236710055246,0.353,0.22,1
"Smarcd3",0.0171311529718844,1.93212788710754,0.103,0.029,1
"Pxmp2",0.0171311529718844,1.93212788710754,0.103,0.029,1
"Lep",0.0171311529718844,1.93212788710754,0.103,0.029,1
"Dph1",0.0171311529718844,1.93212788710754,0.103,0.029,1
"Srebf2",0.0171520657490038,0.627901793953638,0.588,0.474,1
"Wnk1",0.0171685276789348,0.751314569522493,0.574,0.451,1
"Gm13889",0.0172066203558004,1.29825578590544,0.265,0.145,1
"Bcl7a",0.0172124811689536,0.907880340860864,0.471,0.364,1
"Pawr",0.0172429616466436,2.03904309102405,0.162,0.069,1
"Slirp",0.0172680293489473,1.01959072835788,0.426,0.295,1
"Atp6v0d1",0.0172719889504585,0.63775551474074,0.559,0.451,1
"Golga1",0.0172750644170291,1.99924208296608,0.103,0.029,1
